один,one,cardinal number
два,two,cardinal number
три,three,cardinal number
четыре,four,cardinal number
пять,five,cardinal number
шесть,six,cardinal number
семь,seven,cardinal number
восемь,eight,cardinal number
девять,nine,cardinal number
десять,ten,cardinal number
